budget_pct,strategy,n_escalated,fraud_captured,fraud_rate_in_escalated,enrichment_factor,fraud_recall_escalated,system_auprc,system_roc_auc,system_precision,system_recall,system_f1,delta_auprc_over_baseline
0.5,random,10,2,0.2,0.6465266349967723,0.0032310177705977385,0.3047318729833835,0.4825532054174489,0.0,0.0,0.0,0.0007344130537036975
0.5,amount_only,10,7,0.7,2.2628432224887027,0.011308562197092083,0.3101905495595118,0.4874143441291098,0.5,0.0016155088852988692,0.00322061191626409,0.006193089629832005
0.5,uncertainty_margin,10,2,0.2,0.6465266349967723,0.0032310177705977385,0.30423612973280223,0.483366804682404,0.0,0.0,0.0,0.00023866980312242658
0.5,uncertainty_entropy,10,2,0.2,0.6465266349967723,0.0032310177705977385,0.30423612973280223,0.483366804682404,0.0,0.0,0.0,0.00023866980312242658
0.5,combined_uncertainty_amount,10,7,0.7,2.2628432224887027,0.011308562197092083,0.3111788647246201,0.49205337959315365,0.0,0.0,0.0,0.007181404794940283
0.5,orthogonal_uncertainty,10,5,0.5,1.6163165874919305,0.008077544426494346,0.3078219516106053,0.4833486857332563,0.0,0.0,0.0,0.0038244916809255236
1.0,random,20,4,0.2,0.6465266349967723,0.006462035541195477,0.30390257956480915,0.4800931197089746,1.0,0.0016155088852988692,0.0032258064516129032,-9.48803648706531e-05
1.0,amount_only,20,14,0.7,2.2628432224887027,0.022617124394184167,0.3151467337734123,0.4877539283050717,0.6666666666666666,0.0032310177705977385,0.006430868167202572,0.011149273843732488
1.0,uncertainty_margin,20,4,0.2,0.6465266349967723,0.006462035541195477,0.3043344611042801,0.48327328752551263,0.0,0.0,0.0,0.0003370011746002821
1.0,uncertainty_entropy,20,4,0.2,0.6465266349967723,0.006462035541195477,0.3043344611042801,0.48327328752551263,0.0,0.0,0.0,0.0003370011746002821
1.0,combined_uncertainty_amount,20,10,0.5,1.6163165874919305,0.01615508885298869,0.3100737216610401,0.4919820727610238,0.4,0.0032310177705977385,0.00641025641025641,0.006076261731360277
1.0,orthogonal_uncertainty,20,8,0.4,1.2930532699935446,0.012924071082390954,0.30742740764460463,0.4833755719158626,0.0,0.0,0.0,0.0034299477149248303
2.0,random,40,10,0.25,0.8081582937459653,0.01615508885298869,0.3059907519199481,0.48134274271793587,0.6666666666666666,0.0032310177705977385,0.006430868167202572,0.00199329199026832
2.0,amount_only,40,26,0.65,2.10121156373951,0.0420032310177706,0.3201590158569283,0.4914969525096498,0.5555555555555556,0.008077544426494346,0.01592356687898089,0.016161555927248494
2.0,uncertainty_margin,40,16,0.4,1.2930532699935446,0.025848142164781908,0.30440018537111935,0.4825958726202806,0.0,0.0,0.0,0.00040272544143954425
2.0,uncertainty_entropy,40,16,0.4,1.2930532699935446,0.025848142164781908,0.30440018537111935,0.4825958726202806,0.0,0.0,0.0,0.00040272544143954425
2.0,combined_uncertainty_amount,40,21,0.525,1.6971324168665272,0.033925686591276254,0.3168557455911465,0.5028201267625061,0.5,0.009693053311793215,0.01901743264659271,0.012858285661466684
2.0,orthogonal_uncertainty,40,15,0.375,1.212237440618948,0.024232633279483037,0.308827128438767,0.483411809814158,0.0,0.0,0.0,0.0048296685090871705
5.0,random,100,26,0.26,0.8404846254958039,0.0420032310177706,0.30197104245489514,0.4765903177011612,0.3333333333333333,0.0032310177705977385,0.0064,-0.0020264174747846586
5.0,amount_only,100,62,0.62,2.0042325684899938,0.10016155088852989,0.3413851796461834,0.5118427789558342,0.6071428571428571,0.027463651050080775,0.05255023183925812,0.03738771971650362
5.0,uncertainty_margin,100,33,0.33,1.0667689477446742,0.05331179321486268,0.310283134708711,0.48264146223426513,0.5,0.004846526655896607,0.0096,0.006285674779031192
5.0,uncertainty_entropy,100,33,0.33,1.0667689477446742,0.05331179321486268,0.310283134708711,0.48264146223426513,0.5,0.004846526655896607,0.0096,0.006285674779031192
5.0,combined_uncertainty_amount,100,41,0.41,1.325379601743383,0.06623586429725363,0.31891295215225873,0.5069185161632717,0.4444444444444444,0.01938610662358643,0.03715170278637771,0.01491549222257893
5.0,orthogonal_uncertainty,100,28,0.28,0.9051372889954812,0.045234248788368334,0.30259919398410023,0.4827186138887005,0.16666666666666666,0.0016155088852988692,0.0032,-0.0013982659455795687
10.0,random,200,58,0.29,0.9374636207453196,0.09369951534733441,0.30849109662831775,0.48049290555468527,0.35714285714285715,0.008077544426494346,0.01579778830963665,0.004493636698637948
10.0,amount_only,200,113,0.565,1.8264377438658814,0.1825525040387722,0.3658299384370871,0.5386062202936905,0.6382978723404256,0.048465266558966075,0.09009009009009009,0.06183247850740731
10.0,uncertainty_margin,200,70,0.35,1.1314216112443514,0.11308562197092084,0.31128433791208776,0.48389225420768756,0.3,0.004846526655896607,0.009538950715421303,0.007286877982407958
10.0,uncertainty_entropy,200,70,0.35,1.1314216112443514,0.11308562197092084,0.31128433791208776,0.48389225420768756,0.3,0.004846526655896607,0.009538950715421303,0.007286877982407958
10.0,combined_uncertainty_amount,200,77,0.385,1.2445637723687866,0.12439418416801293,0.3242246401841599,0.5194270203797264,0.40384615384615385,0.033925686591276254,0.06259314456035768,0.020227180254480115
10.0,orthogonal_uncertainty,200,71,0.355,1.1475847771192706,0.1147011308562197,0.3136996332054376,0.4852628650383771,0.3,0.004846526655896607,0.009538950715421303,0.009702173275757786
