seed,budget_pct,quantum_auprc,rbf_auprc,gbm_auprc,delta_q_minus_rbf
42,1.0,0.3032691022339534,0.3029820326403648,0.3043344611042801,0.00028706959358865136
42,5.0,0.2997452652585197,0.30131795959246377,0.310283134708711,-0.0015726943339440802
42,10.0,0.2974726586968266,0.3022840634933866,0.31128433791208776,-0.004811404796560004
43,1.0,0.3032691022339534,0.30520098160928993,0.3043344611042801,-0.0019318793753365093
43,5.0,0.29998868040316945,0.3134199124833694,0.310283134708711,-0.013431232080199973
43,10.0,0.2974726586968266,0.325177404701945,0.31128433791208776,-0.027704746005118408
44,1.0,0.3031730800190842,0.30272501986315814,0.3043344611042801,0.00044806015592607773
44,5.0,0.29951277657461683,0.3005955754768972,0.310283134708711,-0.0010827989022803575
44,10.0,0.2974726586968266,0.30169725196083336,0.31128433791208776,-0.00422459326400676
45,1.0,0.3032691022339534,0.30281150670247214,0.3043344611042801,0.00045759553148128074
45,5.0,0.29998868040316945,0.3003592648332913,0.310283134708711,-0.0003705844301218342
45,10.0,0.2974726586968266,0.30101388306943233,0.31128433791208776,-0.0035412243726057335
46,1.0,0.3032691022339534,0.3029820326403648,0.3043344611042801,0.00028706959358865136
46,5.0,0.2998656622621666,0.30144097773346656,0.310283134708711,-0.001575315471299965
46,10.0,0.2974726586968266,0.3022840634933866,0.31128433791208776,-0.004811404796560004
